template,sigma,corr_time_s,corr_peak,corr_x,corr_y,fft_time_s,fft_peak,fft_x,fft_y
Cut_1,0,0.0726638,0.998694627755273,449,410,0.0544017,1,449,410
Cut_1,0.05,0.0786091,0.993883900949476,449,410,0.051976,1,449,410
Cut_1,0.1,0.0833198,0.980629662551099,449,410,0.0524937,1,449,410
Cut_1,0.15,0.0857393,0.955608830450609,449,410,0.0514558,1,449,410
Cut_1,0.2,0.0886187,0.927273232048795,449,410,0.0586341,1,449,410
Cut_2,0,0.1030171,0.998746553697279,811,152,0.0359756,1,811,152
Cut_2,0.05,0.111287,0.993533423391213,811,152,0.0367738,1,811,152
Cut_2,0.1,0.1138122,0.976374205239113,811,152,0.0379081,1,811,152
Cut_2,0.15,0.1111857,0.95543109131043,811,152,0.0362461,1,811,152
Cut_2,0.2,0.1024642,0.919854171421391,811,152,0.0383585,1,811,152
