wave,lev,tptr,sorh,scal,mse,ok
db8,5,sqtwolog,h,one,0.00217745917227171,1
db8,5,sqtwolog,h,sln,0.00217745917227171,1
db8,5,sqtwolog,s,one,0.00217745917227171,1
db8,5,sqtwolog,s,sln,0.00217745917227171,1
db8,5,heursure,h,one,0.00217745917227171,1
db8,5,heursure,s,one,0.00217745917227171,1
db8,5,rigrsure,h,one,0.00217745917227171,1
db8,5,rigrsure,s,one,0.00217745917227171,1
db8,5,minimaxi,h,one,0.00217745917227171,1
db8,5,minimaxi,s,one,0.00217745917227171,1
db8,5,heursure,s,sln,0.00217753849481288,1
db8,5,sqtwolog,s,mln,0.0023677317579921,1
db8,5,minimaxi,s,sln,0.00255561274302759,1
db8,5,heursure,s,mln,0.00276742083522767,1
db4,5,sqtwolog,h,one,0.00289467895178349,1
db4,5,sqtwolog,h,sln,0.00289467895178349,1
db4,5,sqtwolog,h,mln,0.00289467895178349,1
db4,5,sqtwolog,s,one,0.00289467895178349,1
db4,5,sqtwolog,s,sln,0.00289467895178349,1
db4,5,sqtwolog,s,mln,0.00289467895178349,1
db4,5,heursure,h,one,0.00289467895178349,1
db4,5,heursure,h,sln,0.00289467895178349,1
db4,5,heursure,s,one,0.00289467895178349,1
db4,5,heursure,s,sln,0.00289467895178349,1
db4,5,rigrsure,h,one,0.00289467895178349,1
db4,5,rigrsure,s,one,0.00289467895178349,1
db4,5,minimaxi,h,one,0.00289467895178349,1
db4,5,minimaxi,s,one,0.00289467895178349,1
db4,5,heursure,s,mln,0.00289487602785784,1
db8,5,heursure,h,sln,0.00290725437081606,1
db4,5,minimaxi,s,sln,0.00320770556993469,1
db4,5,minimaxi,s,mln,0.0032107573274842,1
db4,5,rigrsure,s,sln,0.00321306748894501,1
sym4,5,sqtwolog,h,one,0.00322680088615472,1
sym4,5,sqtwolog,h,sln,0.00322680088615472,1
sym4,5,sqtwolog,s,one,0.00322680088615472,1
sym4,5,sqtwolog,s,sln,0.00322680088615472,1
sym4,5,heursure,h,one,0.00322680088615472,1
sym4,5,heursure,s,one,0.00322680088615472,1
sym4,5,rigrsure,h,one,0.00322680088615472,1
sym4,5,rigrsure,s,one,0.00322680088615472,1
sym4,5,minimaxi,h,one,0.00322680088615472,1
sym4,5,minimaxi,s,one,0.00322680088615472,1
sym4,5,heursure,s,sln,0.00322837986142662,1
sym4,5,sqtwolog,s,mln,0.00323272673342325,1
sym4,5,heursure,s,mln,0.00336010336765514,1
db8,5,minimaxi,s,mln,0.00346091066708903,1
sym4,5,minimaxi,s,sln,0.0035247131179463,1
db4,5,heursure,h,mln,0.00356993815845178,1
sym4,5,minimaxi,s,mln,0.00400072156675917,1
sym4,5,sqtwolog,h,mln,0.0040207505637873,1
sym4,5,heursure,h,sln,0.0040207505637873,1
db4,5,rigrsure,s,mln,0.00402269695393754,1
sym4,5,rigrsure,s,sln,0.0040763258547805,1
db8,5,rigrsure,s,sln,0.00443288901116271,1
db8,5,rigrsure,s,mln,0.00472675959212279,1
db4,5,rigrsure,h,sln,0.00490048652989686,1
db8,5,sqtwolog,h,mln,0.00505093611498124,1
db4,4,sqtwolog,h,one,0.00593778599443308,1
db4,4,sqtwolog,h,sln,0.00593778599443308,1
db4,4,sqtwolog,h,mln,0.00593778599443308,1
db4,4,sqtwolog,s,one,0.00593778599443308,1
db4,4,sqtwolog,s,sln,0.00593778599443308,1
db4,4,sqtwolog,s,mln,0.00593778599443308,1
db4,4,heursure,h,one,0.00593778599443308,1
db4,4,heursure,h,sln,0.00593778599443308,1
db4,4,heursure,s,one,0.00593778599443308,1
db4,4,heursure,s,sln,0.00593778599443308,1
db4,4,rigrsure,h,one,0.00593778599443308,1
db4,4,rigrsure,s,one,0.00593778599443308,1
db4,4,minimaxi,h,one,0.00593778599443308,1
db4,4,minimaxi,s,one,0.00593778599443308,1
db4,4,heursure,s,mln,0.00593798307050743,1
db8,4,sqtwolog,h,one,0.00605761075472799,1
db8,4,sqtwolog,h,sln,0.00605761075472799,1
db8,4,sqtwolog,h,mln,0.00605761075472799,1
db8,4,sqtwolog,s,one,0.00605761075472799,1
db8,4,sqtwolog,s,sln,0.00605761075472799,1
db8,4,sqtwolog,s,mln,0.00605761075472799,1
db8,4,heursure,h,one,0.00605761075472799,1
db8,4,heursure,h,sln,0.00605761075472799,1
db8,4,heursure,s,one,0.00605761075472799,1
db8,4,heursure,s,sln,0.00605761075472799,1
db8,4,rigrsure,h,one,0.00605761075472799,1
db8,4,rigrsure,s,one,0.00605761075472799,1
db8,4,minimaxi,h,one,0.00605761075472799,1
db8,4,minimaxi,s,one,0.00605761075472799,1
db8,4,heursure,s,mln,0.00605809617971725,1
db4,4,minimaxi,s,mln,0.00624857123056998,1
db4,4,minimaxi,s,sln,0.00625232566246526,1
db4,4,rigrsure,s,sln,0.00625617453159457,1
db4,4,rigrsure,s,mln,0.00625617453159457,1
sym4,4,sqtwolog,h,one,0.00626602187196257,1
sym4,4,sqtwolog,h,sln,0.00626602187196257,1
sym4,4,sqtwolog,h,mln,0.00626602187196257,1
sym4,4,sqtwolog,s,one,0.00626602187196257,1
sym4,4,sqtwolog,s,sln,0.00626602187196257,1
sym4,4,sqtwolog,s,mln,0.00626602187196257,1
sym4,4,heursure,h,one,0.00626602187196257,1
sym4,4,heursure,h,sln,0.00626602187196257,1
sym4,4,heursure,s,one,0.00626602187196257,1
sym4,4,heursure,s,sln,0.00626602187196257,1
sym4,4,rigrsure,h,one,0.00626602187196257,1
sym4,4,rigrsure,s,one,0.00626602187196257,1
sym4,4,minimaxi,h,one,0.00626602187196257,1
sym4,4,minimaxi,s,one,0.00626602187196257,1
db8,5,heursure,h,mln,0.00627845089137228,1
sym4,4,heursure,s,mln,0.00628110492207407,1
db8,4,minimaxi,s,sln,0.00637888816211448,1
db8,4,minimaxi,s,mln,0.00641372326760573,1
sym4,4,minimaxi,s,sln,0.00652605490100821,1
db8,4,rigrsure,s,sln,0.00655001073538907,1
db8,4,rigrsure,s,mln,0.00655001073538907,1
sym4,4,rigrsure,s,sln,0.00658271849191755,1
db4,4,heursure,h,mln,0.0066130452011012,1
db8,4,heursure,h,mln,0.0067087580491119,1
sym4,4,minimaxi,s,mln,0.00678356819709758,1
sym4,5,heursure,h,mln,0.00730405912284528,1
sym4,5,rigrsure,s,mln,0.00734911298618273,1
db4,5,rigrsure,h,mln,0.00763516186794958,1
db4,4,rigrsure,h,sln,0.00794359357254645,1
db4,4,rigrsure,h,mln,0.00794359357254645,1
sym4,4,heursure,h,mln,0.0085914507371859,1
sym4,4,rigrsure,s,mln,0.00899795501353122,1
sym4,5,rigrsure,h,sln,0.00975967605317751,1
sym4,4,rigrsure,h,sln,0.0105709802795256,1
sym4,3,sqtwolog,h,one,0.0108445115044906,1
sym4,3,sqtwolog,h,sln,0.0108445115044906,1
sym4,3,sqtwolog,h,mln,0.0108445115044906,1
sym4,3,sqtwolog,s,one,0.0108445115044906,1
sym4,3,sqtwolog,s,sln,0.0108445115044906,1
sym4,3,sqtwolog,s,mln,0.0108445115044906,1
sym4,3,heursure,h,one,0.0108445115044906,1
sym4,3,heursure,h,sln,0.0108445115044906,1
sym4,3,heursure,s,one,0.0108445115044906,1
sym4,3,heursure,s,sln,0.0108445115044906,1
sym4,3,rigrsure,h,one,0.0108445115044906,1
sym4,3,rigrsure,s,one,0.0108445115044906,1
sym4,3,minimaxi,h,one,0.0108445115044906,1
sym4,3,minimaxi,s,one,0.0108445115044906,1
sym4,3,heursure,s,mln,0.0108520515572291,1
db4,3,sqtwolog,h,one,0.010923715010335,1
db4,3,sqtwolog,h,sln,0.010923715010335,1
db4,3,sqtwolog,h,mln,0.010923715010335,1
db4,3,sqtwolog,s,one,0.010923715010335,1
db4,3,sqtwolog,s,sln,0.010923715010335,1
db4,3,sqtwolog,s,mln,0.010923715010335,1
db4,3,heursure,h,one,0.010923715010335,1
db4,3,heursure,h,sln,0.010923715010335,1
db4,3,heursure,h,mln,0.010923715010335,1
db4,3,heursure,s,one,0.010923715010335,1
db4,3,heursure,s,sln,0.010923715010335,1
db4,3,heursure,s,mln,0.010923715010335,1
db4,3,rigrsure,h,one,0.010923715010335,1
db4,3,rigrsure,h,sln,0.010923715010335,1
db4,3,rigrsure,h,mln,0.010923715010335,1
db4,3,rigrsure,s,one,0.010923715010335,1
db4,3,rigrsure,s,sln,0.010923715010335,1
db4,3,rigrsure,s,mln,0.010923715010335,1
db4,3,minimaxi,h,one,0.010923715010335,1
db4,3,minimaxi,s,one,0.010923715010335,1
sym4,3,rigrsure,s,sln,0.0109555171224112,1
db8,3,sqtwolog,h,one,0.0109648376189611,1
db8,3,sqtwolog,h,sln,0.0109648376189611,1
db8,3,sqtwolog,h,mln,0.0109648376189611,1
db8,3,sqtwolog,s,one,0.0109648376189611,1
db8,3,sqtwolog,s,sln,0.0109648376189611,1
db8,3,sqtwolog,s,mln,0.0109648376189611,1
db8,3,heursure,h,one,0.0109648376189611,1
db8,3,heursure,h,sln,0.0109648376189611,1
db8,3,heursure,h,mln,0.0109648376189611,1
db8,3,heursure,s,one,0.0109648376189611,1
db8,3,heursure,s,sln,0.0109648376189611,1
db8,3,heursure,s,mln,0.0109648376189611,1
db8,3,rigrsure,h,one,0.0109648376189611,1
db8,3,rigrsure,s,one,0.0109648376189611,1
db8,3,minimaxi,h,one,0.0109648376189611,1
db8,3,minimaxi,s,one,0.0109648376189611,1
sym4,3,minimaxi,s,sln,0.0111037049827607,1
db4,3,minimaxi,s,mln,0.0111640749654653,1
db4,3,minimaxi,s,sln,0.0111953451029196,1
db8,3,minimaxi,s,mln,0.0112640368291073,1
sym4,3,minimaxi,s,mln,0.0112665397524467,1
db8,3,minimaxi,s,sln,0.0112734123677378,1
db8,3,rigrsure,s,sln,0.011341774968637,1
db8,3,rigrsure,s,mln,0.011341774968637,1
sym4,3,heursure,h,mln,0.0121253035176057,1
sym4,3,rigrsure,h,sln,0.0130490129588934,1
sym4,3,rigrsure,s,mln,0.0131646104512581,1
sym4,5,minimaxi,h,sln,0.0167461275317699,1
db8,5,rigrsure,h,mln,0.0171786066235247,1
db8,5,rigrsure,h,sln,0.0171828281868103,1
db8,5,minimaxi,h,mln,0.0171953493273029,1
