wave,lev,thr,sorh,keepapp,mse,psnr,ssim,ok
sym8,3,0.4,s,1,0.00137562130626621,28.6150110624186,0.792876066860265,1
sym8,3,0.3,s,1,0.00139258051357386,28.5617968621527,0.734710040927538,1
sym8,3,0.6,h,1,0.00139396158259522,28.5574919517403,0.796106326370896,1
sym8,3,0.6,h,0,0.00139541914125583,28.5529532400789,0.795055611104055,1
db8,3,0.4,s,1,0.00141052473956346,28.5061929223696,0.789599697100681,1
db8,3,0.3,s,1,0.00142905090622139,28.4495230032221,0.728015047035702,1
sym8,4,0.3,s,1,0.00143312277922406,28.4371660091089,0.748274577618191,1
db8,3,0.6,h,1,0.00144021989684476,28.4157119353302,0.790981532346717,1
db8,3,0.6,h,0,0.00144211314768829,28.410006636881,0.789908677878748,1
sym8,3,0.7,h,1,0.00145545720135613,28.3700056074262,0.794185470637167,1
sym8,3,0.7,h,0,0.00145961237987809,28.3576246177084,0.791265304695162,1
sym8,3,0.5,h,1,0.00146644245645219,28.3373497416696,0.779276366011651,1
sym8,3,0.5,h,0,0.00146659528912127,28.3368971434377,0.779078670255143,1
sym8,3,0.5,s,1,0.00146789154101696,28.3330603221148,0.795117884389699,1
sym8,4,0.6,h,0,0.00147024589083017,28.3261002572785,0.808015402402367,1
sym8,4,0.6,h,1,0.00147055559478578,28.3251855221622,0.808010765145871,1
sym8,4,0.5,h,0,0.00148620516086941,28.2792123493389,0.792425495479129,1
sym8,4,0.5,h,1,0.00148639161109947,28.2786675441575,0.792417852812839,1
db8,4,0.3,s,1,0.00148868523385242,28.2719711934114,0.740289955420686,1
db8,3,0.5,s,1,0.00149885358441221,28.2424078915807,0.792855402610678,1
db8,3,0.7,h,1,0.00150048692942765,28.2376778331289,0.790255781223438,1
db8,3,0.7,h,0,0.00150713381146728,28.2184818696741,0.787284998724526,1
sym8,4,0.4,s,1,0.00151763255954891,28.1883336459123,0.808289871633153,1
db8,3,0.5,h,1,0.00151874456690453,28.1851526268237,0.768290316168034,1
db8,3,0.5,h,0,0.00151895697946506,28.1845452623301,0.76810800950226,1
sym8,3,0.8,h,1,0.00152040604963338,28.1804041102554,0.791522323345821,1
sym8,3,0.8,h,0,0.00153581968210188,28.1365977106567,0.785405564645779,1
db8,4,0.6,h,0,0.00154227445908101,28.1183833351084,0.800911691397859,1
db8,4,0.6,h,1,0.00154249835972878,28.1177528911716,0.800904442039432,1
sym8,3,0.6,s,1,0.00154557192620954,28.1091077938809,0.791825577151278,1
sym8,5,0.3,s,1,0.00155496539351953,28.0827927195595,0.745946492403343,1
db8,3,0.8,h,1,0.00155781493346261,28.0748413726032,0.788477493113529,1
sym8,5,0.5,h,0,0.00155799045527098,28.0743520727696,0.789697012019109,1
sym8,5,0.5,h,1,0.00155799045527098,28.0743520727696,0.789697012019109,1
db8,4,0.5,h,0,0.00155997128771886,28.0688339504299,0.779038475818834,1
db8,4,0.5,h,1,0.00156022444780774,28.0681292123993,0.779028615165314,1
sym8,3,0.9,h,1,0.00156966086713004,28.041941688924,0.789603072554674,1
db8,3,0.6,s,1,0.00157224286813718,28.0348036660145,0.789895835929822,1
db8,3,0.8,h,0,0.00157520499029698,28.0266292100972,0.782885056600286,1
db8,4,0.4,s,1,0.00157659706423413,28.0227928646786,0.803986229068787,1
sym8,5,0.6,h,0,0.00157821498634047,28.01833836981,0.804062462725894,1
sym8,5,0.6,h,1,0.00157821498634047,28.01833836981,0.804062462725894,1
sym8,4,0.7,h,0,0.00159252954457972,27.9791250189439,0.803908200151104,1
sym8,4,0.7,h,1,0.00159283904673198,27.9782810658915,0.803904215762836,1
sym8,3,0.7,s,1,0.00160220281185651,27.9528251041459,0.789361202196131,1
db8,3,0.9,h,1,0.00160344139808195,27.9494690786196,0.787144833254783,1
sym8,3,0.9,h,0,0.00160800370422886,27.9371295513713,0.779558607997987,1
sym8,5,0.3,s,0,0.0016153836119929,27.9172432733383,0.746618695898982,1
db8,3,0.7,s,1,0.00162342131784701,27.8956875542291,0.78774433592872,1
db8,5,0.3,s,1,0.00162370288151329,27.8949343859524,0.737658388675133,1
db8,5,0.5,h,0,0.00163536279944433,27.8638588562256,0.776185289756134,1
db8,5,0.5,h,1,0.00163544295132325,27.863646006418,0.776183326023819,1
sym8,3,0.8,s,1,0.00164275155270261,27.8442811364902,0.787749399214426,1
db8,3,0.9,h,0,0.00164550700119417,27.8370026555829,0.777439979813974,1
db8,5,0.6,h,0,0.0016564153335249,27.8083075786392,0.796742427238501,1
db8,5,0.6,h,1,0.00165649493694562,27.808098871952,0.796740299533965,1
db8,3,0.8,s,1,0.00165803013779119,27.8040757960151,0.786423446324415,1
db8,4,0.7,h,0,0.00166338967915756,27.7900599751346,0.798415764965276,1
db8,4,0.7,h,1,0.00166361061835811,27.7894831631888,0.798415137983012,1
sym8,3,0.9,s,1,0.0016716890680723,27.7684449757758,0.786709094868608,1
db8,3,0.9,s,1,0.00168157932357023,27.7428264129833,0.785601014616623,1
db8,5,0.3,s,0,0.00168457725360915,27.7350906776577,0.738323776366695,1
sym8,4,0.5,s,1,0.00170996532063748,27.6701269733212,0.80766846485606,1
sym8,4,0.8,h,0,0.00171782970200067,27.6501989239493,0.799327615392055,1
sym8,4,0.8,h,1,0.00171813931498511,27.649416243952,0.799323323880589,1
sym8,5,0.4,s,1,0.00171986182434909,27.6450644340248,0.805167184657187,1
sym8,4,0.3,s,0,0.00172994564776713,27.6196754152185,0.748716322861765,1
sym8,5,0.7,h,0,0.0017414905411729,27.5907888005017,0.798658017378952,1
sym8,5,0.7,h,1,0.0017414905411729,27.5907888005017,0.798658017378952,1
db8,4,0.5,s,1,0.00176831702077992,27.524398727884,0.804632739815648,1
db8,4,0.8,h,0,0.0017861902825997,27.4807227765287,0.794831701157809,1
db8,4,0.8,h,1,0.00178631006153959,27.4804315556602,0.794840194959002,1
db8,4,0.3,s,0,0.00178637560629488,27.4802722036869,0.74070867265364,1
db8,5,0.4,s,1,0.00179960719183625,27.4482227991603,0.800494704709132,1
db8,5,0.7,h,0,0.00182454928364572,27.3884440123531,0.7927543878186,1
db8,5,0.7,h,1,0.00182462847774539,27.3882555120238,0.792752532221369,1
sym8,4,0.9,h,0,0.00182676595293938,27.3831709132185,0.795903589150355,1
sym8,4,0.9,h,1,0.0018268387914946,27.3829977506308,0.795912331603918,1
sym8,5,0.4,s,0,0.00183946479075595,27.3530852059542,0.80590768502127,1
haar,3,0.3,s,1,0.00184660147412216,27.3362682208263,0.675878648713996,1
sym8,4,0.6,s,1,0.00188091312399809,27.2563126326916,0.801395491523717,1
db8,4,0.9,h,0,0.00189591550860074,27.2218102088302,0.791730611964615,1
db8,4,0.9,h,1,0.00189596931787331,27.2216869504971,0.79174328956657,1
sym8,5,0.8,h,0,0.00191174538595223,27.1856994931892,0.792945392068217,1
sym8,5,0.8,h,1,0.00191174538595223,27.1856994931892,0.792945392068217,1
db8,5,0.4,s,0,0.00191988143055301,27.1672559194573,0.801228139293957,1
sym8,2,0.4,s,1,0.00192417229695743,27.1575604234623,0.605871613466715,1
haar,3,0.4,s,1,0.00192597643234826,27.1534903152287,0.719832450268671,1
db8,2,0.4,s,1,0.00193637032808385,27.1301158087941,0.603682295537221,1
db8,4,0.6,s,1,0.00193774494599326,27.1270338716002,0.798873858116447,1
sym8,2,0.5,s,1,0.00193943730983603,27.1232425392539,0.608383402469787,1
haar,3,0.6,h,1,0.0019420281809699,27.1174447229057,0.724303915365998,1
haar,3,0.6,h,0,0.00194402390769809,27.112983984028,0.723046082781762,1
sym8,2,0.6,h,1,0.001946155632936,27.1082243240135,0.608209845161703,1
db8,2,0.5,s,1,0.00194783404574563,27.1044804750213,0.60667278013929,1
sym8,2,0.7,h,1,0.00195023903002357,27.0991215629989,0.608235314332042,1
sym8,2,0.6,s,1,0.00195566606095229,27.0870530101421,0.60791268960527,1
haar,3,0.5,h,1,0.00195627057666937,27.0857107703946,0.714916033942207,1
haar,3,0.5,h,0,0.00195647768655882,27.0852510082215,0.714735186220205,1
db8,2,0.7,h,1,0.00195836387079756,27.081066116148,0.606524602773841,1
sym8,2,0.8,h,1,0.00195942153118438,27.0787212399807,0.607822607574277,1
db8,2,0.6,h,1,0.0019594219449905,27.0787203228034,0.60595256159138,1
db8,2,0.6,s,1,0.00196102652170167,27.0751653272141,0.606375424280736,1
haar,4,0.3,s,1,0.00196246650934136,27.0719774601321,0.697946210344087,1
sym8,2,0.7,s,1,0.00196405440087081,27.0684648718512,0.607619363457683,1
db8,2,0.8,h,1,0.00196429811232585,27.0679260070732,0.606295142677743,1
sym8,2,0.9,h,1,0.00196571135694094,27.0648025318289,0.60758186574837,1
db8,2,0.9,h,1,0.00196737175325043,27.0611356833153,0.606161663559338,1
db8,2,0.7,s,1,0.0019675888870967,27.0606563899246,0.606150393644119,1
sym8,2,0.8,s,1,0.00196837420724865,27.058923344137,0.607483772486131,1
sym8,2,0.9,s,1,0.00197032457780152,27.0546222524098,0.607429975641058,1
db8,2,0.8,s,1,0.00197071412112256,27.0537637147082,0.606052668496582,1
db8,2,0.9,s,1,0.00197234407249437,27.0501732075834,0.606009422698191,1
sym8,5,0.5,s,1,0.00199789448152021,26.9942745269844,0.803280911618677,1
db8,5,0.8,h,0,0.0020008183178057,26.9879234522521,0.787686778854743,1
db8,5,0.8,h,1,0.00200089744879561,26.9877516951646,0.787685422622364,1
sym8,4,0.7,s,1,0.00202375050572994,26.9384302970951,0.796402857732287,1
sym8,2,0.3,s,1,0.00202786336244424,26.9296131114129,0.57399077177,1
haar,4,0.5,h,0,0.00203446352793287,26.9155009138921,0.7361385449696,1
haar,4,0.5,h,1,0.00203446352793287,26.9155009138921,0.7361385449696,1
db8,2,0.3,s,1,0.00204415266413412,26.8948667276669,0.570143450400723,1
haar,3,0.7,h,1,0.00204957690927082,26.8833578037493,0.720262351978915,1
haar,3,0.7,h,0,0.00205671878097983,26.8682508614579,0.716892784608182,1
sym8,5,0.9,h,0,0.00206534469579877,26.850074563608,0.78827655532833,1
sym8,5,0.9,h,1,0.00206534469579877,26.850074563608,0.78827655532833,1
sym8,2,0.5,h,1,0.0020684220606939,26.843608389204,0.597703433391941,1
sym8,4,0.4,s,0,0.00206965039980025,26.8410300829198,0.808023188763224,1
db8,4,0.7,s,1,0.00207750305431631,26.8245832904963,0.79428660049436,1
haar,4,0.6,h,0,0.00208627485547106,26.8062847618226,0.745899513497742,1
haar,4,0.6,h,1,0.00208627485547106,26.8062847618226,0.745899513497742,1
db8,5,0.5,s,1,0.00208628776551225,26.8062578874044,0.799779974650137,1
haar,3,0.5,s,1,0.0020906218481556,26.7972451529871,0.718427162351105,1
db8,2,0.5,h,1,0.00209200479644137,26.7943732407549,0.592137849179032,1
haar,5,0.3,s,1,0.00210217999580665,26.7733010094391,0.702436907119423,1
haar,5,0.5,h,0,0.00210842512321861,26.7604181753287,0.73605774308111,1
haar,5,0.5,h,1,0.00210842512321861,26.7604181753287,0.73605774308111,1
db8,4,0.4,s,0,0.00212972598779828,26.7167626963276,0.803687811868848,1
sym8,4,0.8,s,1,0.00214332935259361,26.6891108839648,0.792686515657242,1
haar,3,0.8,h,1,0.0021447554699874,26.68622215875,0.716546996797439,1
db8,5,0.9,h,0,0.00216155286300759,26.6523413888038,0.783433222759532,1
db8,5,0.9,h,1,0.00216178148695432,26.6518820668521,0.783429598072885,1
haar,5,0.3,s,0,0.00216275184611671,26.6499330859827,0.703212428244079,1
haar,3,0.8,h,0,0.00216634927649527,26.6427152156774,0.709827949664468,1
haar,4,0.4,s,1,0.00217434595212195,26.6267135576745,0.744649614930695,1
db8,4,0.8,s,1,0.00219275709795947,26.590094745051,0.790908133789413,1
sym8,5,0.5,s,0,0.00219620189982734,26.5832773710431,0.803986196131508,1
haar,5,0.6,h,0,0.00219971055218321,26.576344618413,0.745539315038837,1
haar,5,0.6,h,1,0.00219971055218321,26.576344618413,0.745539315038837,1
sym8,4,0.2,s,1,0.00220451276747361,26.5668738160641,0.507346066040075,1
haar,3,0.6,s,1,0.002224807750841,26.5270751113526,0.713743595494933,1
haar,3,0.9,h,1,0.00223305331816759,26.5110090724225,0.713356805144815,1
sym8,4,0.9,s,1,0.00224407397776649,26.4896283030081,0.789875329078561,1
db8,4,0.2,s,1,0.00225249439890961,26.4733628027151,0.497059263284271,1
sym8,3,0.2,s,1,0.00225278278068153,26.4728068208857,0.504968210621349,1
sym8,5,0.6,s,1,0.00225768818802179,26.4633603919249,0.795713406359342,1
sym8,5,0.2,s,1,0.00225807045666362,26.4626251127605,0.505346052952949,1
haar,4,0.3,s,0,0.00225939101573703,26.4600860250961,0.698669110838533,1
haar,4,0.7,h,0,0.00227044826584337,26.4388838943125,0.740382749259193,1
haar,4,0.7,h,1,0.00227044826584337,26.4388838943125,0.740382749259193,1
sym8,2,0.5,h,0,0.00227182812800208,26.4362452766336,0.576315370956255,1
sym8,5,0.2,s,0,0.00227882240300906,26.4228951966323,0.505769504960621,1
db8,5,0.5,s,0,0.0022855012550976,26.41018535879,0.800475847506326,1
haar,3,0.9,h,0,0.00228591216381028,26.4094046138842,0.702521129671274,1
db8,3,0.2,s,1,0.00228757868982553,26.4062395782142,0.495536120086027,1
db8,4,0.9,s,1,0.00228910259058165,26.40334743138,0.788342074950164,1
db8,2,0.5,h,0,0.00230611035003831,26.3711991505256,0.56981479514646,1
db8,5,0.2,s,1,0.00231309874658746,26.3580582672672,0.494886845293598,1
haar,2,0.4,s,1,0.0023168278535166,26.3510623424855,0.562098218682313,1
sym8,4,0.2,s,0,0.00232423713583871,26.3371956409053,0.507908505447314,1
haar,3,0.7,s,1,0.00232720920199697,26.331645745177,0.710418494371096,1
sym8,4,0.4,h,0,0.00232999678574464,26.3264467808743,0.647937049561682,1
sym8,4,0.4,h,1,0.0023300783151128,26.3262948187108,0.647934170528725,1
db8,5,0.2,s,0,0.00233412700616154,26.3187551651068,0.495302421185821,1
db8,5,0.6,s,1,0.00235398033649546,26.2819716926964,0.792646817775032,1
sym8,3,0.4,h,0,0.00235544318927239,26.2792736600993,0.639577802093146,1
sym8,3,0.4,h,1,0.002355460076975,26.2792425228178,0.639586703893987,1
haar,2,0.3,s,1,0.00235989371777067,26.2710755585409,0.536593328510742,1
haar,2,0.6,h,1,0.00236268556399222,26.265940722354,0.563389696071635,1
haar,2,0.5,s,1,0.00236889373683465,26.2545442029936,0.562935580143533,1
sym8,5,0.4,h,0,0.00237078490792317,26.2510784608063,0.646535938036886,1
sym8,5,0.4,h,1,0.00237078490792317,26.2510784608063,0.646535938036886,1
db8,4,0.2,s,0,0.00237284853967452,26.2472998217157,0.497601138067616,1
haar,2,0.7,h,1,0.00238831611608944,26.2190819078084,0.562606438635813,1
haar,5,0.4,s,1,0.00240400738307678,26.1906420288203,0.750808458851535,1
haar,3,0.8,s,1,0.0024052384095429,26.1884186947009,0.708192035100672,1
haar,2,0.6,s,1,0.00240702966795464,26.1851855677541,0.561919380977295,1
db8,4,0.4,h,0,0.00241257819792149,26.1751860114462,0.615673930325116,1
db8,4,0.4,h,1,0.00241270765800301,26.1749529732357,0.615669514260834,1
haar,2,0.8,h,1,0.00241492859361049,26.1709570626212,0.561780164689108,1
db8,3,0.4,h,0,0.00241870742104257,26.1641666289552,0.610021172343104,1
db8,3,0.4,h,1,0.00241879400817392,26.1640111589718,0.610028041051322,1
haar,5,0.7,h,0,0.00242537362106366,26.1522135022968,0.739998283536996,1
haar,5,0.7,h,1,0.00242537362106366,26.1522135022968,0.739998283536996,1
haar,2,0.7,s,1,0.00242904740923902,26.1456400871485,0.561345429599905,1
haar,2,0.9,h,1,0.00243075685534229,26.142584807553,0.561323572750678,1
haar,2,0.8,s,1,0.00244080089703962,26.1246764575434,0.561085405846343,1
haar,4,0.8,h,0,0.00244242796028822,26.1217823698921,0.735291541118452,1
haar,4,0.8,h,1,0.00244242796028822,26.1217823698921,0.735291541118452,1
haar,2,0.9,s,1,0.00244726172096321,26.1131958279695,0.560963446557191,1
haar,2,0.5,h,1,0.00244731058100792,26.1131091211175,0.556602023465758,1
db8,5,0.4,h,0,0.00245419867984974,26.1009028184142,0.614227127293729,1
db8,5,0.4,h,1,0.00245427920414474,26.1007603251288,0.614224994355604,1
haar,3,0.9,s,1,0.00246679098000594,26.0786764827103,0.706642907545844,1
haar,4,0.5,s,1,0.00247159641992576,26.0702244252673,0.74052729657426,1
sym8,5,0.7,s,1,0.00248914584518321,26.0394965626299,0.789553804435986,1
sym8,2,0.6,h,0,0.00250900465951135,26.0049853214964,0.568201391220274,1
db8,2,0.6,h,0,0.00251840327471988,25.9887472460063,0.565163804076405,1
haar,5,0.4,s,0,0.00252383365768861,25.9793927222052,0.75172777227081,1
sym8,5,0.6,s,0,0.00255424231254701,25.9273790503257,0.796286929153916,1
haar,4,0.2,s,1,0.00257832316517346,25.8866264941256,0.485347380192136,1
haar,3,0.2,s,1,0.00257945752531571,25.8847161904979,0.478146455331909,1
db8,5,0.7,s,1,0.00259322147990765,25.8616038975048,0.786775227071696,1
sym8,4,0.5,s,0,0.00259529285786732,25.8581362842073,0.806229026463855,1
haar,4,0.9,h,0,0.0026173879356181,25.8213190372154,0.73045388808543,1
haar,4,0.9,h,1,0.0026173879356181,25.8213190372154,0.73045388808543,1
haar,5,0.2,s,1,0.00264227394825876,25.7802215717973,0.485996817173859,1
haar,5,0.8,h,0,0.00264580786922181,25.7744169619021,0.734481342893665,1
haar,5,0.8,h,1,0.00264580786922181,25.7744169619021,0.734481342893665,1
db8,5,0.6,s,0,0.00265167084975926,25.7648038562358,0.793207621916538,1
db8,4,0.5,s,0,0.00265495160602613,25.7594339075101,0.803160229589442,1
haar,5,0.2,s,0,0.0026631119403459,25.7461057819013,0.48646168122236,1
sym8,3,0.3,s,0,0.00268951981952335,25.7032525098135,0.731350141075025,1
sym8,5,0.8,s,1,0.00269669226564458,25.6916861044654,0.784769604459352,1
haar,4,0.2,s,0,0.00269811211394725,25.6894000816411,0.486010509368252,1
haar,2,0.5,h,0,0.0026984842586968,25.688801109992,0.535526071686225,1
db8,3,0.3,s,0,0.00272636934629029,25.6441530984026,0.724708077204091,1
haar,4,0.4,s,0,0.00272650162588269,25.6439423899617,0.744912791883135,1
haar,4,0.6,s,1,0.00273242661685883,25.634514928078,0.732836421859886,1
haar,3,0.4,h,0,0.00277067994171056,25.5741363934842,0.607397779219666,1
haar,3,0.4,h,1,0.00277067994171056,25.5741363934842,0.607397779219666,1
haar,4,0.4,h,0,0.00279113229363193,25.542195784047,0.621180840324548,1
haar,4,0.4,h,1,0.00279113229363193,25.542195784047,0.621180840324548,1
haar,5,0.5,s,1,0.00279959553546618,25.529047077304,0.746534430060505,1
sym8,3,0.2,s,0,0.00280483761978663,25.5209227625164,0.504782334361429,1
db8,5,0.8,s,1,0.0028065826401791,25.5182216540035,0.782261734599806,1
haar,5,0.4,h,0,0.00283276360105143,25.477896665818,0.620799023353033,1
haar,5,0.4,h,1,0.00283276360105143,25.477896665818,0.620799023353033,1
db8,3,0.2,s,0,0.00283997445515661,25.4668556630311,0.495364232325369,1
haar,5,0.9,h,0,0.00287720776632846,25.4102877609646,0.729451106054603,1
haar,5,0.9,h,1,0.00287720776632846,25.4102877609646,0.729451106054603,1
sym8,5,0.9,s,1,0.00288374717378519,25.4004281810071,0.78101949824306,1
sym8,5,0.7,s,0,0.00290347598698803,25.3708176142047,0.789890332449276,1
sym8,2,0.2,s,1,0.002944398190636,25.3100345781889,0.435193410816652,1
haar,4,0.7,s,1,0.00295543083259938,25.2937920020341,0.72690162582991,1
db8,2,0.2,s,1,0.00296472469073358,25.2801562973532,0.429526385765798,1
sym8,2,0.4,h,1,0.00297300835389493,25.2680387046362,0.51438142431132,1
haar,5,0.5,s,0,0.00299820845656663,25.2313817522712,0.747508776632508,1
db8,5,0.9,s,1,0.00299845705920525,25.2310216629719,0.778708903879373,1
db8,5,0.7,s,0,0.00300892834734571,25.215881541419,0.787095556377254,1
db8,2,0.4,h,1,0.00301049283715073,25.2136240177011,0.497904885031258,1
sym8,2,0.4,h,0,0.00302800266132144,25.1884374746896,0.50594794710148,1
haar,2,0.6,h,0,0.00304103760005311,25.1697821011084,0.524437461743111,1
db8,2,0.4,h,0,0.003072440344575,25.1251654075181,0.488877531869001,1
haar,3,0.2,s,0,0.00313147996042093,25.0425036317598,0.478248154499456,1
haar,3,0.3,s,0,0.00314356649566671,25.0257734861245,0.67341006144179,1
haar,4,0.8,s,1,0.00314651188346336,25.0217062370902,0.72247020982423,1
haar,5,0.6,s,1,0.00316286705454091,24.9991906249234,0.738268292775885,1
sym8,4,0.6,s,0,0.00317768940458054,24.9788855409805,0.798245297186848,1
db8,2,0.7,h,0,0.00318622196755372,24.9672397243764,0.542227096810097,1
haar,2,0.2,s,1,0.00318702062980101,24.9661512529949,0.41400265899223,1
sym8,2,0.7,h,0,0.00319226412555637,24.9590118263268,0.54566302937342,1
db8,4,0.6,s,0,0.00323586055696488,24.9001020172154,0.795703426371953,1
sym8,5,0.8,s,0,0.00324833366738102,24.8833936660464,0.78475578287217,1
haar,2,0.4,h,1,0.00329668621866551,24.8192238739952,0.489339496271647,1
haar,4,0.9,s,1,0.00331462952730228,24.7956500518967,0.718973436024197,1
haar,4,0.5,s,0,0.00335710351212667,24.7403526761337,0.739934827279682,1
db8,5,0.8,s,0,0.00335982490182916,24.7368335539316,0.782233629957115,1
haar,2,0.4,h,0,0.00336809819940757,24.7261525480923,0.480459829478368,1
haar,5,0.6,s,0,0.00345979630986145,24.6094946886825,0.739218343534545,1
haar,5,0.7,s,1,0.00349025671699817,24.5714262843469,0.731708868533217,1
sym8,5,0.9,s,0,0.00359223908206845,24.4463476650148,0.780537253642098,1
db8,5,0.9,s,0,0.00370874531011496,24.3077298986081,0.778218236437454,1
sym8,3,0.4,s,0,0.00372970307806985,24.2832574103008,0.783607129984076,1
db8,3,0.4,s,0,0.00376504834953218,24.2422944235831,0.780394355048349,1
haar,5,0.8,s,1,0.00378682097451781,24.2172522606926,0.726658226197725,1
sym8,4,0.7,s,0,0.00381005686320397,24.1906854264684,0.790919504574838,1
db8,4,0.7,s,0,0.00386509336434741,24.1284001089672,0.788802608826202,1
haar,2,0.7,h,0,0.00388086604665445,24.1107134726328,0.501774464569239,1
haar,5,0.7,s,0,0.00390503355653881,24.0837522981305,0.732551819119755,1
haar,4,0.6,s,0,0.00402941012749993,23.9475852634576,0.730926426362192,1
haar,5,0.9,s,1,0.00405971825710017,23.9150410524854,0.722590444386341,1
haar,3,0.4,s,0,0.00428028777986974,23.6852703075135,0.712329376138467,1
db8,2,0.8,h,0,0.00430867475640329,23.6565628772422,0.514322148213174,1
sym8,2,0.8,h,0,0.00432560737506646,23.6395290296916,0.518561255118572,1
haar,5,0.8,s,0,0.00433897664827854,23.6261268717225,0.727305319109821,1
sym8,4,0.8,s,0,0.00449721135224728,23.4705670172318,0.784151454231474,1
db8,4,0.8,s,0,0.0045477852812214,23.4220004824597,0.782398710906932,1
haar,4,0.7,s,0,0.00474201576168066,23.2403700683198,0.723133426356408,1
haar,5,0.9,s,0,0.00476878401508098,23.2159234692714,0.722950854870071,1
sym8,3,0.5,s,0,0.00519115610827754,22.8473591083525,0.776962811095117,1
db8,3,0.5,s,0,0.0052224793868612,22.8212326550564,0.774801876114403,1
haar,2,0.8,h,0,0.0052282035548092,22.8164751194661,0.475657475209886,1
sym8,4,0.9,s,0,0.00524352846883065,22.8037636972648,0.777469595844278,1
db8,4,0.9,s,0,0.00528943061184031,22.7659107568596,0.775991847028275,1
sym8,2,0.2,s,0,0.00529554392320072,22.7608942541247,0.429454490389069,1
db8,2,0.2,s,0,0.00531499441035547,22.7449718787691,0.423972387332652,1
haar,4,0.8,s,0,0.00550082323098483,22.5957231088396,0.716215143597386,1
haar,2,0.2,s,0,0.00553983875911523,22.5650287553251,0.408879581732493,1
sym8,4,0.3,h,0,0.00576511674878241,22.3919189342764,0.325668908334386,1
sym8,4,0.3,h,1,0.00576520107041471,22.3918554140505,0.32566607487085,1
sym8,5,0.3,h,0,0.00578348961417607,22.378100399748,0.325255697581749,1
sym8,5,0.3,h,1,0.00578348961417607,22.378100399748,0.325255697581749,1
sym8,3,0.3,h,0,0.00580785538186599,22.3598420629549,0.325556841973422,1
sym8,3,0.3,h,1,0.00580789894262128,22.359809489615,0.325555787371014,1
haar,3,0.5,s,0,0.00581468550392321,22.3547376977549,0.70303822501102,1
db8,4,0.3,h,0,0.00585253486239895,22.3265599061683,0.30270343762458,1
db8,4,0.3,h,1,0.00585255719191337,22.3265433363116,0.302701096682891,1
db8,5,0.3,h,0,0.00587098825101853,22.3128878872861,0.302288257689002,1
db8,5,0.3,h,1,0.00587107803436246,22.3128214723811,0.302286512065931,1
db8,3,0.3,h,0,0.00588434794851154,22.3030165483459,0.303387970387963,1
db8,3,0.3,h,1,0.00588436355806097,22.3030050277284,0.303386283863055,1
db8,2,0.9,h,0,0.00598857373988081,22.226765984212,0.485066062878075,1
sym8,2,0.9,h,0,0.0060651622069804,22.1715757985025,0.488483531607278,1
haar,4,0.3,h,0,0.00615126665539969,22.1103544604429,0.322610358866829,1
